Ranking,Country Name,GPD,geounit,iso3
14,Spain,1232597,Spain,ESP
27,Nigeria,405952,Nigeria,NGA
32,Egypt,332349,Egypt,EGY
39,South Africa,294132,SouthAfrica,ZAF
55,Algeria,160784,Algeria,DZA
60,Morocco,103615,Morocco,MAR
63,Angola,95821,Angola,AGO
64,Sudan,94421,Sudan,SDN
69,Ethiopia,72523,Ethiopia,ETH
71,Kenya,68919,Kenya,KEN
84,Tanzania,47184,Tanzania,TZA
87,Ghana,43264,Ghana,GHA
89,Tunisia,41869,Tunisia,TUN
90,Democratic Republic of the Congo,41615,DemocraticRepublicoftheCongo,COD
97,Libya,33157,Libya,LBY
99,Cameroon,29334,Cameroon,CMR
104,Uganda,26195,Uganda,UGA
107,Zambia,21310,Zambia,ZMB
116,Botswana,15018,Botswana,BWA
117,Senegal,14785,Senegal,SEN
118,Gabon,14273,Gabon,GAB
120,Zimbabwe,14174,Zimbabwe,ZWE
121,Mali,13960,Mali,MLI
127,Burkina Faso,11182,BurkinaFaso,BFA
128,Equatorial Guinea,11636,EquatorialGuinea,GNQ
129,Mozambique,11283,Mozambique,MOZ
134,Namibia,10646,Namibia,NAM
136,Chad,10103,Chad,TCD
137,Madagascar,9740,Madagascar,MDG
139,Benin,8577,Benin,BEN
140,Rwanda,8406,Rwanda,RWA
142,Republic of Congo,7955,RepublicofCongo,COD
143,Niger,7479,Niger,NER
148,Guinea,6512,Guinea,GIN
149,Malawi,5492,Malawi,MWI
150,Eritrea,5352,Eritrea,ERI
151,Mauritania,4714,Mauritania,MRT
154,Togo,4434,Togo,TGO
156,Sierra Leone,3981,SierraLeone,SLE
157,Swaziland,3770,Swaziland,SWZ
161,Burundi,3133,Burundi,BDI
162,South Sudan,2914,SouthSudan,SSD
164,Lesotho,2267,Lesotho,LSO
166,Liberia,2111,Liberia,LBR
167,Djibouti,1894,Djibouti,DJI
168,Central African Republic,1780,CentralAfricanRepublic,CAF
183,Comoros,620,Comoros,COM
