Ranking,Country Name,GPD,geounit,iso3
2,China,11218281,China,CHN
3,Japan,4938644,Japan,JPN
7,India,2256397,India,IND
11,South Korea,1411246,SouthKorea,KOR
12,Russia,1280731,Russia,RUS
16,Indonesia,932448,Indonesia,IDN
17,Turkey,857429,Turkey,TUR
20,Saudi Arabia,639617,SaudiArabia,SAU
22,Taiwan,528550,Taiwan,TWN
26,Thailand,406949,Thailand,THA
29,Iran,376755,Iran,IRN
30,United Arab Emirates,371353,UnitedArabEmirates,ARE
33,Hong Kong,320668,HongKong,HKG
34,Israel,318386,Israel,ISR
36,Philippines,304696,Philippines,PHL
37,Singapore,296967,Singapore,SGP
38,Malaysia,296359,Malaysia,MYS
42,Pakistan,284185,Pakistan,PAK
46,Bangladesh,227901,Bangladesh,BGD
48,Vietnam,201326,Vietnam,VNM
54,Iraq,167026,Iraq,IRQ
56,Qatar,156734,Qatar,QAT
57,Kazakhstan,133757,Kazakhstan,KAZ
59,Kuwait,109859,Kuwait,KWT
67,Sri Lanka,82615,SriLanka,LKA
73,Uzbekistan,66502,Uzbekistan,UZB
74,Myanmar,66324,Myanmar,MMR
75,Oman,63171,Oman,OMN
81,Lebanon,51991,Lebanon,LBN
91,Jordan,38743,Jordan,JOR
93,Azerbaijan,37556,Azerbaijan,AZE
94,Turkmenistan,36180,Turkmenistan,TKM
98,Bahrain,31907,Bahrain,BHR
102,Yemen,27318,Yemen,YEM
108,Nepal,21154,Nepal,NPL
112,Cyprus,19810,Cyprus,CYP
113,Cambodia,19398,Cambodia,KHM
114,Afghanistan,18886,Afghanistan,AFG
119,Georgia,14222,Georgia,GEO
123,Laos,13790,Laos,LAO
130,Brunei,11182,Brunei,BRN
131,Mongolia,11031,Mongolia,MNG
135,Armenia,10499,Armenia,ARM
144,Tajikistan,6922,Tajikistan,TJK
147,Kyrgyzstan,6551,Kyrgyzstan,KGZ
165,Bhutan,2115,Bhutan,BTN
