Ranking,Country Name,GPD,geounit,iso3
4,Germany,3466639,Germany,DEU
6,France,2463222,France,FRA
8,Italy,1850735,Italy,ITA
12,Russia,1280731,Russia,RUS
14,Spain,1232597,Spain,ESP
18,Netherlands,771163,Netherlands,NLD
19,Switzerland,659850,Switzerland,CHE
23,Sweden,511397,Sweden,SWE
24,Poland,467591,Poland,POL
28,Austria,386752,Austria,AUT
31,Norway,370449,Norway,NOR
35,Denmark,306730,Denmark,DNK
40,Ireland,293605,Ireland,IRL
45,Finland,236883,Finland,FIN
47,Portugal,204761,Portugal,PRT
50,Greece,194248,Greece,GRC
51,Czech Republic,192991,CzechRepublic,CZE
52,Romania,187039,Romania,ROU
58,Hungary,125675,Hungary,HUN
65,Ukraine,93263,Ukraine,UKR
66,Slovakia,89525,Slovakia,SVK
76,Luxembourg,59468,Luxembourg,LUX
80,Bulgaria,52418,Bulgaria,BGR
82,Croatia,50441,Croatia,HRV
83,Belarus,48847,Belarus,BLR
86,Slovenia,44009,Slovenia,SVN
88,Lithuania,42749,Lithuania,LTU
92,Serbia,37745,Serbia,SRB
100,Latvia,27684,Latvia,LVA
105,Estonia,23130,Estonia,EST
110,Iceland,20047,Iceland,ISL
115,Bosnia and Herzegovina,16605,BosniaandHerzegovina,BIH
125,Albania,12126,Albania,ALB
132,Malta,10953,Malta,MLT
133,Macedonia,10912,Macedonia,MKD
145,Moldova,6750,Moldova,MDA
146,Kosovo,6707,Kosovo,KSV
155,Montenegro,4126,Montenegro,MNE
171,San Marino,1592,SanMarino,SMR
