Ranking,Country Name,GPD,geounit,iso3
1,United States,18569100,UnitedStates,USA
10,Canada,1529224,Canada,CAN
15,Mexico,1046002,Mexico,MEX
61,Puerto Rico,101304,PuertoRico,PRI
70,Dominican Republic,72194,DominicanRepublic,DOM
72,Guatemala,68175,Guatemala,GTM
77,Costa Rica,58109,CostaRica,CRI
78,Panama,55122,Panama,PAN
103,El Salvador,26709,ElSalvador,SLV
106,Honduras,21364,Honduras,HND
109,Trinidad and Tobago,20966,TrinidadandTobago,TTO
122,Jamaica,13950,Jamaica,JAM
124,Nicaragua,13049,Nicaragua,NIC
141,Haiti,8257,Haiti,HTI
153,Barbados,4588,Barbados,BRB
169,Belize,1743,Belize,BLZ
177,Grenada,1027,Grenada,GRD
184,Dominica,520,Dominica,DMA
189,Greenland,2441,Greenland,GRL
